MembershipID,MembershipType
M1568,STUDENT
M1569,PREMIUM
M1570,STUDENT
M1571,OLD AGE
M1572,STUDENT
M1573,PREMIUM
M1574,STUDENT
M1575,PREMIUM
M1576,STUDENT
M1577,OLD AGE
M1578,STUDENT
M1579,PREMIUM
M1580,STUDENT
M1581,PREMIUM
M1582,STUDENT
M1583,OLD AGE
M1584,STUDENT
M1585,PREMIUM
M1586,STUDENT
M1587,PREMIUM
M1588,STUDENT
M1589,OLD AGE
M1590,STUDENT
M1591,PREMIUM
M1592,STUDENT
M1593,PREMIUM
M1594,STUDENT
M1595,OLD AGE
M1596,STUDENT
M1597,PREMIUM
M1598,STUDENT
M1599,PREMIUM
M1600,STUDENT
M1601,OLD AGE
M1602,STUDENT
M1603,PREMIUM
M1604,STUDENT
M1605,PREMIUM
M1606,STUDENT
M1607,OLD AGE
M1608,STUDENT
M1609,PREMIUM
M1610,STUDENT
M1611,PREMIUM
M1612,STUDENT
M1613,OLD AGE
M1614,STUDENT
M1615,PREMIUM
M1616,STUDENT
M1617,PREMIUM
M1618,STUDENT
M1619,OLD AGE
M1620,STUDENT
M1621,PREMIUM
M1622,STUDENT
M1623,PREMIUM
M1624,STUDENT
M1625,OLD AGE
M1626,STUDENT
M1627,PREMIUM
M1628,STUDENT
M1629,PREMIUM
M1630,STUDENT
M1631,OLD AGE
M1632,STUDENT
M1633,PREMIUM
M1634,STUDENT
M1635,PREMIUM
M1636,STUDENT
M1637,OLD AGE
M1638,STUDENT
M1639,PREMIUM
M1640,STUDENT
M1641,PREMIUM
M1642,STUDENT
M1643,OLD AGE
M1644,STUDENT
M1645,PREMIUM
M1646,STUDENT
M1647,PREMIUM
M1648,STUDENT
M1649,OLD AGE
M1650,STUDENT
M1651,PREMIUM
M1652,STUDENT
M1653,PREMIUM
M1654,STUDENT
M1655,OLD AGE
M1656,STUDENT
M1657,PREMIUM
M1658,STUDENT
M1659,PREMIUM
M1660,STUDENT
M1661,OLD AGE
M1662,STUDENT
M1663,PREMIUM
M1664,STUDENT
M1665,PREMIUM
M1666,STUDENT
