PaymentID,OrderID,Payment_Type
P7836,OR6534,CREDIT CARD
P7837,OR6535,PAY PAL
P7838,OR6536,GIFTCARD
P7839,OR6537,CREDIT CARD
P7840,OR6538,PAY PAL
P7841,OR6539,GIFTCARD
P7842,OR6540,CREDIT CARD
P7843,OR6541,PAY PAL
P7844,OR6542,GIFTCARD
P7845,OR6543,CREDIT CARD
P7846,OR6544,PAY PAL
P7847,OR6545,GIFTCARD
P7848,OR6546,CREDIT CARD
P7849,OR6547,PAY PAL
P7850,OR6548,GIFTCARD
P7851,OR6549,CREDIT CARD
P7852,OR6550,PAY PAL
P7853,OR6551,GIFTCARD
P7854,OR6552,CREDIT CARD
P7855,OR6553,PAY PAL
P7856,OR6554,GIFTCARD
P7857,OR6555,CREDIT CARD
P7858,OR6556,PAY PAL
P7859,OR6557,GIFTCARD
P7860,OR6558,CREDIT CARD
P7861,OR6559,PAY PAL
P7862,OR6560,GIFTCARD
P7863,OR6561,CREDIT CARD
P7864,OR6562,PAY PAL
P7865,OR6563,GIFTCARD
P7866,OR6564,CREDIT CARD
P7867,OR6565,PAY PAL
P7868,OR6566,GIFTCARD
P7869,OR6567,CREDIT CARD
P7870,OR6568,PAY PAL
P7871,OR6569,GIFTCARD
P7872,OR6570,CREDIT CARD
P7873,OR6571,PAY PAL
P7874,OR6572,GIFTCARD
P7875,OR6573,CREDIT CARD
P7876,OR6574,PAY PAL
P7877,OR6575,GIFTCARD
P7878,OR6576,CREDIT CARD
P7879,OR6577,PAY PAL
P7880,OR6578,GIFTCARD
P7881,OR6579,CREDIT CARD
P7882,OR6580,PAY PAL
P7883,OR6581,GIFTCARD
P7884,OR6582,CREDIT CARD
P7885,OR6583,PAY PAL
P7886,OR6584,GIFTCARD
P7887,OR6585,CREDIT CARD
P7888,OR6586,PAY PAL
P7889,OR6587,GIFTCARD
P7890,OR6588,CREDIT CARD
P7891,OR6589,PAY PAL
P7892,OR6590,GIFTCARD
P7893,OR6591,CREDIT CARD
P7894,OR6592,PAY PAL
P7895,OR6593,GIFTCARD
P7896,OR6594,CREDIT CARD
P7897,OR6595,PAY PAL
P7898,OR6596,GIFTCARD
P7899,OR6597,CREDIT CARD
P7900,OR6598,PAY PAL
P7901,OR6599,GIFTCARD
P7902,OR6600,CREDIT CARD
P7903,OR6601,PAY PAL
P7904,OR6602,GIFTCARD
P7905,OR6603,CREDIT CARD
P7906,OR6604,PAY PAL
P7907,OR6605,GIFTCARD
P7908,OR6606,CREDIT CARD
P7909,OR6607,PAY PAL
P7910,OR6608,GIFTCARD
P7911,OR6609,CREDIT CARD
P7912,OR6610,PAY PAL
P7913,OR6611,GIFTCARD
P7914,OR6612,CREDIT CARD
P7915,OR6613,PAY PAL
P7916,OR6614,GIFTCARD
P7917,OR6615,CREDIT CARD
P7918,OR6616,PAY PAL
P7919,OR6617,GIFTCARD
P7920,OR6618,CREDIT CARD
P7921,OR6619,PAY PAL
P7922,OR6620,GIFTCARD
P7923,OR6621,CREDIT CARD
P7924,OR6622,PAY PAL
P7925,OR6623,GIFTCARD
P7926,OR6624,CREDIT CARD
P7927,OR6625,PAY PAL
P7928,OR6626,GIFTCARD
P7929,OR6627,CREDIT CARD
P7930,OR6628,PAY PAL
P7931,OR6629,GIFTCARD
P7932,OR6630,CREDIT CARD
P7933,OR6631,PAY PAL
P7934,OR6632,GIFTCARD
